ts,channel_id,user_id,text,thread_ts,reply_count,reactions
1791996314.0060,C_ALLIANCE,U_x15,Need JF to sign off before anything goes up.,,2,eyes
1791998454.0061,C_ICU,U_x02,Need JF to sign off before anything goes up.,,2,+1
1792001142.0062,C_ALLIANCE,U_x13,Need JF to sign off before anything goes up.,,0,eyes
1792005425.0063,C_GENERAL,U_x17,Typeform responses are climbing.,,2,+1
1792008720.0064,C_ALLIANCE,U_x18,Figma posters updated.,,0,+1
1792011029.0065,C_ALLIANCE,U_x10,Typeform responses are climbing.,,4,
1792012593.0066,C_ICU,U_x20,Need JF to sign off before anything goes up.,,3,
1792013248.0067,C_ALLIANCE,U_lucie,Need JF to sign off before anything goes up.,,2,
1792017975.0068,C_ALLIANCE,U_x22,Reminder texts queued for the registered list.,,3,tada
1792020872.0069,C_GENERAL,U_jf,Need JF to sign off before anything goes up.,,3,tada
1792023475.0070,C_MOBILITE,U_x21,Parking-mitigation revision landed; objections dropped.,,0,
1792024309.0071,C_MOBILITE,U_x00,Can someone confirm the Centre communautaire booking?,,2,+1
1792028972.0072,C_ALLIANCE,U_x15,Need JF to sign off before anything goes up.,,3,tada
1792031890.0073,C_MOBILITE,U_x01,Typeform responses are climbing.,,0,eyes
1792035969.0074,C_GENERAL,U_x00,Parking-mitigation revision landed; objections dropped.,,4,
1792039954.0075,C_ICU,U_x10,Site walk moved to Thursday.,,1,+1
1792044366.0076,C_MOBILITE,U_x23,Reconciled the canopy figure with GIS.,,1,tada
1792049066.0077,C_GENERAL,U_x04,Reminder texts queued for the registered list.,,3,tada
1792053787.0078,C_ALLIANCE,U_x10,Mailchimp open rate looks healthy.,,0,
1792057702.0079,C_MOBILITE,U_x21,Figma posters updated.,,0,tada
1792062306.0080,C_GENERAL,U_x02,Reconciled the canopy figure with GIS.,,1,
1792066079.0081,C_MOBILITE,U_sophie,Reminder texts queued for the registered list.,,0,tada
1792066661.0082,C_ALLIANCE,U_x03,Parking-mitigation revision landed; objections dropped.,,4,
1792068498.0083,C_ALLIANCE,U_x09,Typeform responses are climbing.,,2,
1792072579.0084,C_ALLIANCE,U_sophie,Site walk moved to Thursday.,,3,eyes
1792076058.0085,C_GENERAL,U_x20,Can someone confirm the Centre communautaire booking?,,4,eyes
1792076654.0086,C_MOBILITE,U_marc,Mailchimp open rate looks healthy.,,1,+1
1792079655.0087,C_MOBILITE,U_x20,Reconciled the canopy figure with GIS.,,4,eyes
1792084057.0088,C_GENERAL,U_lucie,Parking-mitigation revision landed; objections dropped.,,1,+1
1792085799.0089,C_GENERAL,U_ruth,Can someone confirm the Centre communautaire booking?,,3,eyes
1792090344.0090,C_MOBILITE,U_x11,Reminder texts queued for the registered list.,,4,eyes
1792093153.0091,C_MOBILITE,U_x16,Need JF to sign off before anything goes up.,,4,eyes
1792095550.0092,C_GENERAL,U_x00,Reconciled the canopy figure with GIS.,,0,eyes
1792097218.0093,C_ALLIANCE,U_x21,Reconciled the canopy figure with GIS.,,1,
1792097845.0094,C_MOBILITE,U_sophie,Site walk moved to Thursday.,,0,
1792099862.0095,C_GENERAL,U_x16,Reconciled the canopy figure with GIS.,,0,tada
1792101638.0096,C_GENERAL,U_lucie,Need JF to sign off before anything goes up.,,3,
1792106503.0097,C_MOBILITE,U_x21,Mailchimp open rate looks healthy.,,2,tada
1792108108.0098,C_GENERAL,U_x06,Figma posters updated.,,0,
1792110920.0099,C_MOBILITE,U_x20,Pushed the bilingual deck draft.,,0,eyes
1792113218.0100,C_ICU,U_amara,Pushed the bilingual deck draft.,,4,+1
1792114612.0101,C_MOBILITE,U_x05,Pushed the bilingual deck draft.,,4,+1
1792119008.0102,C_GENERAL,U_sophie,Mailchimp open rate looks healthy.,,3,+1
1792123001.0103,C_GENERAL,U_x09,Pushed the bilingual deck draft.,,0,
1792127338.0104,C_GENERAL,U_x21,Reconciled the canopy figure with GIS.,,3,
1792132005.0105,C_ALLIANCE,U_x12,Typeform responses are climbing.,,2,tada
1792135183.0106,C_MOBILITE,U_x01,Site walk moved to Thursday.,,1,eyes
1792138207.0107,C_GENERAL,U_x19,Pushed the bilingual deck draft.,,4,
1792141545.0108,C_GENERAL,U_x18,Mailchimp open rate looks healthy.,,0,
1792142643.0109,C_MOBILITE,U_x09,Typeform responses are climbing.,,0,
1792143958.0110,C_GENERAL,U_x00,Reconciled the canopy figure with GIS.,,1,tada
1792146424.0111,C_MOBILITE,U_x13,Typeform responses are climbing.,,4,+1
1792151255.0112,C_MOBILITE,U_ruth,Typeform responses are climbing.,,0,tada
1792152265.0113,C_ALLIANCE,U_x01,Reconciled the canopy figure with GIS.,,1,eyes
1792155692.0114,C_MOBILITE,U_x21,Typeform responses are climbing.,,3,
1792156499.0115,C_GENERAL,U_x18,Parking-mitigation revision landed; objections dropped.,,2,
1792159618.0116,C_MOBILITE,U_x12,Pushed the bilingual deck draft.,,3,tada
1792163467.0117,C_ICU,U_x07,Typeform responses are climbing.,,4,tada
1792164931.0118,C_GENERAL,U_x21,Mailchimp open rate looks healthy.,,3,
1792165642.0119,C_GENERAL,U_x10,Parking-mitigation revision landed; objections dropped.,,1,
1792168137.0120,C_GENERAL,U_x11,Reminder texts queued for the registered list.,,4,
1792170498.0121,C_ICU,U_x09,Pushed the bilingual deck draft.,,2,+1
1792171695.0122,C_GENERAL,U_x16,Reminder texts queued for the registered list.,,0,eyes
1792175298.0123,C_ALLIANCE,U_x23,Pushed the bilingual deck draft.,,3,eyes
1792178722.0124,C_ICU,U_x10,Reconciled the canopy figure with GIS.,,3,+1
1792179729.0125,C_ALLIANCE,U_lucie,Pushed the bilingual deck draft.,,0,eyes
1792184713.0126,C_GENERAL,U_x17,Reminder texts queued for the registered list.,,1,
1792187202.0127,C_GENERAL,U_x20,Reconciled the canopy figure with GIS.,,1,tada
1792188774.0128,C_MOBILITE,U_x07,Typeform responses are climbing.,,3,eyes
1792191645.0129,C_ALLIANCE,U_x10,Parking-mitigation revision landed; objections dropped.,,0,tada
1792194707.0130,C_ALLIANCE,U_x01,Reminder texts queued for the registered list.,,4,tada
1792195669.0131,C_ALLIANCE,U_x23,Typeform responses are climbing.,,3,
1792200333.0132,C_MOBILITE,U_x10,Reminder texts queued for the registered list.,,2,+1
1792202344.0133,C_MOBILITE,U_x06,Mailchimp open rate looks healthy.,,4,+1
1792206238.0134,C_MOBILITE,U_sophie,Site walk moved to Thursday.,,1,eyes
1792210138.0135,C_GENERAL,U_amara,Need JF to sign off before anything goes up.,,2,+1
1792213030.0136,C_ICU,U_x08,Parking-mitigation revision landed; objections dropped.,,3,+1
1792217262.0137,C_MOBILITE,U_x16,Pushed the bilingual deck draft.,,0,+1
1792218132.0138,C_GENERAL,U_x04,Reconciled the canopy figure with GIS.,,0,+1
1792221151.0139,C_ALLIANCE,U_x14,Typeform responses are climbing.,,2,tada
1792225778.0140,C_MOBILITE,U_x10,Site walk moved to Thursday.,,0,+1
1792226638.0141,C_ALLIANCE,U_sophie,Figma posters updated.,,1,eyes
1792230520.0142,C_GENERAL,U_x19,Site walk moved to Thursday.,,3,+1
1792235259.0143,C_GENERAL,U_x18,Site walk moved to Thursday.,,1,
1792239246.0144,C_ALLIANCE,U_x20,Pushed the bilingual deck draft.,,3,eyes
1792240206.0145,C_GENERAL,U_x13,Pushed the bilingual deck draft.,,0,
1792242809.0146,C_MOBILITE,U_x23,Parking-mitigation revision landed; objections dropped.,,4,eyes
1792243854.0147,C_ALLIANCE,U_amara,Site walk moved to Thursday.,,2,
1792245354.0148,C_ALLIANCE,U_x05,Parking-mitigation revision landed; objections dropped.,,2,
1792248468.0149,C_ICU,U_x12,Site walk moved to Thursday.,,0,+1
1792249348.0150,C_ALLIANCE,U_x16,Site walk moved to Thursday.,,3,
1792253033.0151,C_ICU,U_x18,Site walk moved to Thursday.,,0,eyes
1792254951.0152,C_ALLIANCE,U_x18,Mailchimp open rate looks healthy.,,2,eyes
1792255920.0153,C_MOBILITE,U_x11,Site walk moved to Thursday.,,2,+1
1792259402.0154,C_ICU,U_x07,Need JF to sign off before anything goes up.,,4,eyes
1792262965.0155,C_MOBILITE,U_x14,Figma posters updated.,,3,
1792263572.0156,C_MOBILITE,U_x17,Pushed the bilingual deck draft.,,4,tada
1792265695.0157,C_GENERAL,U_x23,Figma posters updated.,,0,
1792267826.0158,C_ICU,U_x09,Can someone confirm the Centre communautaire booking?,,1,+1
1792271251.0159,C_MOBILITE,U_x11,Reconciled the canopy figure with GIS.,,4,eyes
1792274480.0160,C_MOBILITE,U_x09,Pushed the bilingual deck draft.,,0,tada
1792278881.0161,C_ICU,U_x03,Reminder texts queued for the registered list.,,4,eyes
1792281298.0162,C_GENERAL,U_x18,Pushed the bilingual deck draft.,,2,+1
1792285728.0163,C_GENERAL,U_x17,Reconciled the canopy figure with GIS.,,4,tada
1792287435.0164,C_ICU,U_x07,Mailchimp open rate looks healthy.,,0,+1
1792292263.0165,C_ALLIANCE,U_marc,Mailchimp open rate looks healthy.,,2,eyes
1792293921.0166,C_GENERAL,U_x18,Reconciled the canopy figure with GIS.,,0,+1
1792297206.0167,C_GENERAL,U_x03,Mailchimp open rate looks healthy.,,3,tada
1792299985.0168,C_ICU,U_x22,Need JF to sign off before anything goes up.,,1,tada
1792300917.0169,C_MOBILITE,U_x14,Can someone confirm the Centre communautaire booking?,,2,tada
1792304160.0170,C_MOBILITE,U_x23,Need JF to sign off before anything goes up.,,3,tada
1792306022.0171,C_MOBILITE,U_x17,Reminder texts queued for the registered list.,,4,tada
1792308052.0172,C_MOBILITE,U_x07,Reconciled the canopy figure with GIS.,,4,
1792312772.0173,C_MOBILITE,U_x17,Parking-mitigation revision landed; objections dropped.,,1,eyes
1792313353.0174,C_GENERAL,U_x03,Figma posters updated.,,4,eyes
1792316818.0175,C_MOBILITE,U_x05,Site walk moved to Thursday.,,4,tada
1792319210.0176,C_ALLIANCE,U_x03,Need JF to sign off before anything goes up.,,0,+1
1792321818.0177,C_GENERAL,U_x21,Mailchimp open rate looks healthy.,,4,
1792323610.0178,C_GENERAL,U_x16,Reconciled the canopy figure with GIS.,,1,+1
1792324670.0179,C_GENERAL,U_x04,Can someone confirm the Centre communautaire booking?,,1,tada
1792327783.0180,C_ALLIANCE,U_x00,Mailchimp open rate looks healthy.,,3,eyes
1792332274.0181,C_MOBILITE,U_x19,Parking-mitigation revision landed; objections dropped.,,1,eyes
1792335458.0182,C_GENERAL,U_sophie,Reconciled the canopy figure with GIS.,,4,tada
1792338765.0183,C_MOBILITE,U_amara,Reconciled the canopy figure with GIS.,,2,
1792341271.0184,C_MOBILITE,U_x05,Figma posters updated.,,2,+1
1792345896.0185,C_ICU,U_x10,Reminder texts queued for the registered list.,,1,eyes
1792347227.0186,C_GENERAL,U_x03,Reconciled the canopy figure with GIS.,,3,
1792351708.0187,C_ALLIANCE,U_ruth,Can someone confirm the Centre communautaire booking?,,3,eyes
1792354640.0188,C_MOBILITE,U_x12,Pushed the bilingual deck draft.,,4,eyes
1792357537.0189,C_GENERAL,U_x05,Site walk moved to Thursday.,,2,
1792358898.0190,C_MOBILITE,U_x17,Reconciled the canopy figure with GIS.,,0,eyes
1792360687.0191,C_ICU,U_x08,Mailchimp open rate looks healthy.,,0,tada
1792362365.0192,C_ICU,U_amara,Need JF to sign off before anything goes up.,,3,+1
1792365984.0193,C_ICU,U_x02,Parking-mitigation revision landed; objections dropped.,,0,eyes
1792367720.0194,C_ICU,U_x10,Parking-mitigation revision landed; objections dropped.,,4,tada
1792368405.0195,C_MOBILITE,U_x20,Parking-mitigation revision landed; objections dropped.,,1,
1792370739.0196,C_MOBILITE,U_x08,Reconciled the canopy figure with GIS.,,2,eyes
1792375176.0197,C_GENERAL,U_x14,Mailchimp open rate looks healthy.,,2,tada
1792379498.0198,C_ALLIANCE,U_x23,Figma posters updated.,,0,eyes
1792380123.0199,C_ICU,U_x09,Reminder texts queued for the registered list.,,0,
1792383420.0200,C_ICU,U_x23,Need JF to sign off before anything goes up.,,4,eyes
1792384774.0201,C_GENERAL,U_x19,Site walk moved to Thursday.,,0,+1
1792389557.0202,C_ALLIANCE,U_x16,Parking-mitigation revision landed; objections dropped.,,3,tada
1792394186.0203,C_GENERAL,U_ruth,Need JF to sign off before anything goes up.,,2,tada
1792398773.0204,C_GENERAL,U_x00,Pushed the bilingual deck draft.,,2,+1
1792403111.0205,C_GENERAL,U_jf,Reminder texts queued for the registered list.,,3,+1
