id,summary,description,time_zone,access_role,primary,color_id
cal_gen_000085,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000086,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000087,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000088,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000089,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000090,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000091,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000092,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000093,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000094,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000095,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000096,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000097,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000098,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000099,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000100,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000101,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000102,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000103,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000104,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000105,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000106,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000107,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000108,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000109,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000110,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000111,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000112,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000113,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000114,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000115,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000116,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000117,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000118,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000119,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000120,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000121,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000122,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000123,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000124,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000125,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000126,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000127,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000128,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000129,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000130,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000131,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000132,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000133,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000134,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000135,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000136,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000137,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000138,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000139,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000140,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000141,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000142,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000143,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000144,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000145,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000146,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000147,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000148,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000149,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000150,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000151,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000152,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000153,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000154,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000155,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000156,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000157,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000158,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000159,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000160,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000161,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000162,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000163,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000164,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000165,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000166,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000167,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000168,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000169,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000170,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000171,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000172,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000173,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000174,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000175,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000176,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000177,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000178,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000179,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000180,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000181,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000182,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000183,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000184,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000185,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000186,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000187,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000188,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000189,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000190,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000191,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000192,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000193,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000194,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000195,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000196,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000197,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000198,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000199,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000200,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000201,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000202,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000203,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000204,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000205,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000206,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000207,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000208,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000209,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000210,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000211,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000212,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000213,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000214,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000215,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000216,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000217,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000218,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000219,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000220,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000221,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000222,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000223,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000224,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000225,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000226,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000227,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000228,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000229,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000230,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000231,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000232,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000233,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000234,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000235,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000236,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000237,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000238,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000239,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000240,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000241,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000242,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000243,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000244,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000245,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000246,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000247,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000248,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000249,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000250,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000251,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000252,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000253,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000254,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000255,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000256,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000257,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000258,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000259,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000260,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000261,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000262,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000263,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000264,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000265,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000266,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000267,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000268,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000269,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000270,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000271,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000272,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000273,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000274,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000275,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000276,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000277,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000278,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000279,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000280,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000281,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000282,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000283,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000284,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000285,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000286,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000287,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
